00000.ppm;775;411;813;449;1;21
00001.ppm;669;464;687;482;1;43
00001.ppm;644;463;664;483;1;46
00004.ppm;901;405;959;463;1;18
00004.ppm;895;343;969;417;1;19
00005.ppm;1171;163;1289;281;1;19
00006.ppm;925;349;991;415;1;16
00007.ppm;1218;138;1245;165;1;11
00007.ppm;824;408;863;447;1;29
00008.ppm;784;460;811;487;1;13
00009.ppm;924;465;950;491;1;10
00011.ppm;244;470;259;485;1;18
00012.ppm;977;363;1035;421;1;15
00012.ppm;40;490;55;505;1;34
00013.ppm;1043;279;1121;357;1;16
00016.ppm;1122;623;1150;651;1;35
00018.ppm;950;454;983;487;1;11
00021.ppm;826;389;878;441;1;21
00022.ppm;667;473;693;499;1;13
00023.ppm;1166;582;1187;603;1;32
00023.ppm;45;355;139;449;1;17
00023.ppm;996;294;1076;374;1;20
00023.ppm;1020;178;1040;198;1;21
00024.ppm;199;407;221;429;1;35
00025.ppm;830;583;872;625;1;46
00025.ppm;38;518;54;534;1;33
00025.ppm;158;560;186;588;1;23
00025.ppm;135;561;161;587;1;28
00027.ppm;965;383;1027;445;1;9
00027.ppm;102;374;159;431;1;21
00028.ppm;776;401;832;457;1;23
00029.ppm;1092;396;1132;436;1;22
00031.ppm;714;466;734;486;1;24
00032.ppm;918;502;933;517;1;31
00035.ppm;512;498;528;514;1;19
00035.ppm;90;407;112;429;1;13
00035.ppm;27;489;41;503;1;44
00035.ppm;304;438;320;454;1;34
00035.ppm;995;133;1009;147;1;7
00036.ppm;1178;500;1205;527;1;21
00037.ppm;1026;222;1113;309;1;18
00037.ppm;1020;220;1116;316;1;15
00039.ppm;910;298;942;330;1;28
00040.ppm;958;563;998;603;1;41
00040.ppm;0;204;15;219;1;19
00040.ppm;768;564;812;608;1;35
00041.ppm;718;340;758;380;1;37
00041.ppm;719;419;757;457;1;45
00041.ppm;728;462;749;483;1;28
00041.ppm;1166;388;1210;432;1;38
00041.ppm;660;438;681;459;1;39
00042.ppm;1304;376;1344;416;1;32
00042.ppm;862;548;877;563;1;23
